requirement_id,capability_family,requirement_summary,source_doc,epic_id,plan_steps,scope,acceptance_criteria_ids,dependencies,owner,status
REQ-022,UAM,"Support default role assignment for new SSO users",docs/UAM.md,EP-ID-003,"14.1",Post-MVP,"AC-ID-022;AC-ID-023",EP-ID-001,Security,baselined
REQ-023,UAM,"Support invite-only mode for restricted workspace access",docs/UAM.md,EP-ID-001,"10.3",MVP,"AC-ID-005;AC-ID-006",EP-ID-001,Security,baselined
REQ-024,UAM,"Support token rotation and immediate revocation",docs/UAM.md,EP-ID-002,"10.4",MVP,"AC-ID-012;AC-ID-013",EP-ID-001,Security,baselined
REQ-025,Integrations,"Support OpenAPI documentation for REST endpoints",docs/DEVELOPER.md,EP-INT-001,"12.1",MVP,"AC-INT-003;AC-INT-004",EP-INT-001,Platform,baselined
REQ-026,Integrations,"Support GraphQL pagination and complexity guardrails",docs/DEVELOPER.md,EP-INT-002,"12.2",MVP,"AC-INT-012;AC-INT-013",EP-INT-002,Platform,baselined
REQ-027,Integrations,"Support GraphQL upload endpoint for bulk operations",docs/DEVELOPER.md,EP-INT-002,"12.2",Post-MVP,"AC-INT-030;AC-INT-031",EP-INT-002,Platform,baselined
REQ-028,Integrations,"Support webhook dead-letter handling and replay safety",docs/DEVELOPER.md,EP-INT-003,"12.3",MVP,"AC-INT-022;AC-INT-023",EP-INT-003,Platform,baselined
REQ-029,Integrations,"Support MCP server endpoint and scoped tool visibility",docs/DEVELOPER.md,EP-INT-004,"15.3",Post-MVP,"AC-INT-040;AC-INT-041",EP-ID-002;EP-INT-001,Platform,baselined
REQ-030,Model,"Define Objective fact sheet semantics and KPI linkage",docs/MODEL.md,EP-MODEL-001,"3.3;5.3",MVP,"AC-MODEL-003;AC-MODEL-004",EP-MODEL-001,Architecture,baselined
REQ-031,Model,"Define Platform fact sheet lifecycle semantics",docs/MODEL.md,EP-MODEL-001,"3.3;5.10",MVP,"AC-MODEL-005;AC-MODEL-006",EP-MODEL-001,Architecture,baselined
REQ-032,Model,"Define Initiative with Idea, Program, Project, Epic subtypes",docs/MODEL.md,EP-MODEL-001,"3.3;5.4",MVP,"AC-MODEL-007;AC-MODEL-008",EP-MODEL-001,Architecture,baselined
REQ-033,Model,"Define Organization hierarchy and subtype semantics",docs/MODEL.md,EP-MODEL-001,"3.1;5.6",MVP,"AC-MODEL-009;AC-MODEL-010",EP-MODEL-001,Architecture,baselined
REQ-034,Model,"Define Business Capability maturity and strategic importance",docs/MODEL.md,EP-MODEL-001,"3.1;5.1",MVP,"AC-MODEL-011;AC-MODEL-012",EP-MODEL-001,Architecture,baselined
REQ-035,Model,"Define Application lifecycle and portfolio strategy fields",docs/MODEL.md,EP-MODEL-001,"3.2;5.2",MVP,"AC-MODEL-013;AC-MODEL-014",EP-MODEL-001,Architecture,baselined
REQ-036,Model,"Define Interface subtypes including API and MCP",docs/MODEL.md,EP-MODEL-001,"3.2;5.8",MVP,"AC-MODEL-015;AC-MODEL-016",EP-MODEL-001,Architecture,baselined
REQ-037,Model,"Define Provider contract and SLA semantics",docs/MODEL.md,EP-MODEL-001,"3.4;5.9",MVP,"AC-MODEL-030;AC-MODEL-031",EP-MODEL-001,Architecture,baselined
REQ-038,Model,"Define IT Component lifecycle and technology standards linkage",docs/MODEL.md,EP-MODEL-001,"3.4;5.5",MVP,"AC-MODEL-017;AC-MODEL-018",EP-MODEL-001,Architecture,baselined
REQ-039,Model,"Support typed relationships and dependency semantics",docs/MODEL.md,EP-FACT-001,"3.5;6.1",MVP,"AC-FACT-003;AC-FACT-004",EP-MODEL-001;EP-FACT-001,Product,baselined
REQ-040,Model,"Support lifecycle state model Plan through End of Life",docs/MODEL.md,EP-FACT-001,"3.1;3.2;3.3;3.4",MVP,"AC-FACT-005;AC-FACT-006",EP-MODEL-001;EP-FACT-001,Product,baselined
REQ-041,User Workflow,"Support saved and shared search configurations",docs/USER-GUIDE.md,EP-FACT-002,"9.6",Post-MVP,"AC-FACT-030;AC-FACT-031",EP-FACT-002,Product,baselined
REQ-042,User Workflow,"Support bulk update and spreadsheet import-export",docs/USER-GUIDE.md,EP-FACT-003,"6.4;9.5;12.4;12.5",MVP,"AC-FACT-020;AC-FACT-021",EP-FACT-001;EP-INT-001,Product,baselined
REQ-043,User Workflow,"Support comments, to-dos, and collaboration workflows",docs/USER-GUIDE.md,EP-COLLAB-001,"11.4;11.5",Post-MVP,"AC-COLLAB-001;AC-COLLAB-002",EP-FACT-001;EP-ID-001,Product,baselined
REQ-044,User Workflow,"Support quality seal state tracking and notifications",docs/USER-GUIDE.md,EP-ADMIN-002,"11.3",MVP,"AC-ADMIN-010;AC-ADMIN-011",EP-ADMIN-001;EP-ID-001,Operations,baselined
REQ-045,User Workflow,"Support fact sheet subscriptions with role assignment",docs/USER-GUIDE.md,EP-ADMIN-001,"11.2",MVP,"AC-ADMIN-005;AC-ADMIN-006",EP-ADMIN-001,Operations,baselined
REQ-046,Use Cases,"Support TIME classification model for rationalization",docs/USE-CASES.md,EP-REPORT-002,"13.2",MVP,"AC-REPORT-012;AC-REPORT-013",EP-REPORT-002,Product,baselined
REQ-047,Use Cases,"Support 6R modernization classification model",docs/USE-CASES.md,EP-REPORT-003,"13.3",MVP,"AC-REPORT-030;AC-REPORT-031",EP-REPORT-002;EP-ROADMAP-001,Product,baselined
REQ-048,Use Cases,"Support pace-layering analysis for application portfolios",docs/USE-CASES.md,EP-REPORT-003,"13.3",Post-MVP,"AC-REPORT-032;AC-REPORT-033",EP-REPORT-001,Product,baselined
REQ-049,Use Cases,"Support ERP transformation scenario comparison",docs/USE-CASES.md,EP-TRANSFORM-001,"15.2",Post-MVP,"AC-TRANSFORM-003;AC-TRANSFORM-004",EP-TRANSFORM-001,Product,baselined
REQ-050,Use Cases,"Support obsolescence risk aggregation and remediation tracking",docs/USE-CASES.md,EP-REPORT-004,"13.4",MVP,"AC-REPORT-040;AC-REPORT-041",EP-REPORT-001;EP-FACT-002,Product,baselined
REQ-051,Use Cases,"Support AI governance and adoption tracking",docs/USE-CASES.md,EP-REPORT-005,"15.7",Post-MVP,"AC-REPORT-050;AC-REPORT-051",EP-REPORT-001;EP-MODEL-001,Product,baselined
REQ-052,Architecture,"Persist data to managed relational database with ACID guarantees",docs/ARCHITECTURE.md,EP-PLATFORM-001,"1.1;2.3",MVP,"AC-PLATFORM-003;AC-PLATFORM-004",EP-PLATFORM-001,Architecture,baselined
REQ-053,Architecture,"Support caching and session management",docs/ARCHITECTURE.md,EP-PLATFORM-001,"1.5;2.5",MVP,"AC-PLATFORM-005;AC-PLATFORM-006",EP-PLATFORM-001,Architecture,baselined
REQ-054,Architecture,"Support async job processing runtime for imports and reports",docs/ARCHITECTURE.md,EP-PLATFORM-003,"1.5;4.6",MVP,"AC-PLATFORM-020;AC-PLATFORM-021",EP-PLATFORM-001,Platform,baselined
REQ-055,Architecture,"Support advanced search infrastructure and indexing",docs/ARCHITECTURE.md,EP-FACT-002,"1.6;6.2",MVP,"AC-FACT-012;AC-FACT-013",EP-PLATFORM-001;EP-FACT-001,Platform,baselined
REQ-056,Architecture,"Support immutable audit logs for create, update, delete, and admin events",docs/ARCHITECTURE.md,EP-SEC-001,"3.7;4.4",MVP,"AC-SEC-003;AC-SEC-004",EP-SEC-001,Security,baselined
REQ-057,Architecture,"Support backup, restore, and migration safety procedures",docs/ARCHITECTURE.md,EP-PLATFORM-004,"cross-cutting",MVP,"AC-PLATFORM-030;AC-PLATFORM-031",EP-PLATFORM-001,Operations,baselined
REQ-058,Architecture,"Support custom fields via governed JSONB extensions",docs/ARCHITECTURE.md,EP-MODEL-002,"3.6",Post-MVP,"AC-MODEL-040;AC-MODEL-041",EP-MODEL-001,Architecture,baselined
REQ-059,Architecture,"Support versioned migrations with backward compatibility",docs/ARCHITECTURE.md,EP-PLATFORM-002,"2.3",MVP,"AC-PLATFORM-012;AC-PLATFORM-013",EP-PLATFORM-001,Architecture,baselined
REQ-060,Getting Started,"Support three-product framing across APM, APL, and Transformation",docs/GETTING-STARTED.md,EP-REPORT-001,"8.1;13.1",MVP,"AC-REPORT-003;AC-REPORT-004",EP-REPORT-001,Product,baselined
REQ-061,Frontend,"Deliver application shell with sidebar navigation and layout",docs/PLAN.md,EP-FRONTEND-001,"7.1;7.2;7.3;7.4",MVP,"AC-FRONT-001;AC-FRONT-002",EP-PLATFORM-001,Product,baselined
REQ-062,Frontend,"Deliver six core views: dashboard, capabilities, applications, strategy, radar, roadmap",docs/PLAN.md,EP-FRONTEND-002,"8.1;8.2;8.3;8.4;8.5;8.6",MVP,"AC-FRONT-010;AC-FRONT-011;AC-FRONT-012;AC-FRONT-013;AC-FRONT-014;AC-FRONT-015",EP-FRONTEND-001,Product,baselined
REQ-063,Frontend,"Deliver fact sheet detail, create, and edit UI",docs/USER-GUIDE.md,EP-FRONTEND-003,"9.1;9.2;9.3;9.4;9.5;9.6",MVP,"AC-FRONT-020;AC-FRONT-021;AC-FRONT-022",EP-FRONTEND-002,Product,baselined
REQ-064,Architecture,"Evaluate and document tech stack decisions as ADRs",docs/PLAN.md,EP-TECHSTACK-001,"1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9",MVP,"AC-TECH-001;AC-TECH-002",none,Architecture,baselined
REQ-065,User Workflow,"Support user registration, login, and profile management",docs/UAM.md,EP-ID-001,"10.1;10.2;10.3",MVP,"AC-ID-030;AC-ID-031",EP-PLATFORM-001,Security,baselined
REQ-066,Reporting,"Support data quality completeness metrics and scoring",docs/USER-GUIDE.md,EP-REPORT-001,"13.6",MVP,"AC-REPORT-060;AC-REPORT-061",EP-FACT-001;EP-ADMIN-002,Product,baselined
REQ-067,Reporting,"Support adoption and usage metrics for administrators",docs/ADMIN.md,EP-REPORT-001,"13.7",MVP,"AC-REPORT-070;AC-REPORT-071",EP-ID-001,Operations,baselined
REQ-068,User Workflow,"Support survey-based data collection from stakeholders",docs/USER-GUIDE.md,EP-COLLAB-001,"11.6",Post-MVP,"AC-COLLAB-010;AC-COLLAB-011",EP-FACT-001;EP-ID-001,Product,baselined
REQ-069,Integrations,"Support CSV and Excel import with column mapping and preview",docs/DEVELOPER.md,EP-INT-001,"12.4",MVP,"AC-INT-050;AC-INT-051",EP-FACT-001,Platform,baselined
REQ-070,Integrations,"Support CSV and Excel export with filtering",docs/DEVELOPER.md,EP-INT-001,"12.5",MVP,"AC-INT-052;AC-INT-053",EP-FACT-002,Platform,baselined
REQ-071,Platform,"MVP deployment at zero monetary cost using free tiers only",AGENTS.md,EP-TECHSTACK-001,"1.7;2.1",MVP,"AC-TECH-003",none,Architecture,baselined
REQ-072,Platform,"Open-source first: prefer OSS over commercial at every layer",AGENTS.md,EP-TECHSTACK-001,"1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8",MVP,"AC-TECH-004",none,Architecture,baselined
REQ-073,Platform,"Production deployment on Azure (preferred) with cloud-agnostic code",docs/ARCHITECTURE.md,EP-PLATFORM-001,"1.7;2.1;2.5",MVP,"AC-TECH-005",EP-TECHSTACK-001,Architecture,baselined
